AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	18	68	edible	no	EYE	EYE_45L.avi	2	45L	45	1h	188	45to45	same	0	1	0	f	1767	411	0.23	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	74	104	edible	no	FACE	FACE_90R.avi	5	90R	90	1h	224	90to0	easier	90	1	0	f	2168	786	0.57	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	12	104	edible	no	FACE	FACE_0.avi	1	0	0	1h	224	90to0	easier	90	1	0	f	1382	786	0.57	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	83	22	living	yes	FAMILY	FAMILY_0.avi	1	0	0	1h	22	0to45	harder	45	1	0	j	1994	478	0.32	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	70	22	living	yes	FAMILY	FAMILY_45R.avi	3	45R	45	1h	22	0to45	harder	45	1	0	j	1516	478	0.32	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	82	23	living	yes	FATHER	FATHER_45L.avi	2	45L	45	2hd	23	45to0	easier	45	1	0	j	1994	-176	-0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	80	23	living	yes	FATHER	FATHER_0.avi	1	0	0	2hd	23	45to0	easier	45	1	0	j	2170	-176	-0.08	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	63	24	living	yes	FISH1	FISH1_45R.avi	3	45R	45	1h	24	45to0	easier	45	1	0	j	1291	-81	-0.06	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	106	24	living	yes	FISH1	FISH1_0.avi	1	0	0	1h	24	45to0	easier	45	1	0	j	1372	-81	-0.06	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	51	25	edible	yes	FISHfood	FISHfood_90L.avi	4	90L	90	1h	145	90to45	easier	45	1	0	j	1752	192	0.12	-1	1	0	0	0	0	0	0	0	0	1
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	73	25	edible	yes	FISHfood	FISHfood_45L.avi	2	45L	45	1h	145	90to45	easier	45	0	1	f	1560	192	0.12	-1	1	0	0	0	0	0	0	0	1	0
